OPPONENT,Pos_Bucket,DK_PTS,DvP_Rank
ATL,C,26.264583333333334,23.0
ATL,PF,23.17914979757085,29.0
ATL,PG,23.820903361344538,27.0
BKN,C,26.377682403433475,24.0
BKN,PF,21.104989604989605,10.0
BKN,PG,21.78606719367589,4.0
BOS,C,23.445147679324894,5.0
BOS,PF,19.568464730290458,1.0
BOS,PG,22.241683991683992,7.0
CHA,C,25.846385542168676,17.0
CHA,PF,20.849397590361445,8.0
CHA,PG,23.25922131147541,21.0
CHI,C,28.240625,30.0
CHI,PF,23.228947368421053,30.0
CHI,PG,23.381224066390043,22.0
CLE,C,24.914163090128756,12.0
CLE,PF,21.866826923076925,20.0
CLE,PG,22.50051975051975,9.0
DAL,C,27.271428571428572,28.0
DAL,PF,21.910386965376784,21.0
DAL,PG,23.52422680412371,24.0
DEN,C,26.08823529411765,20.0
DEN,PF,22.406989247311827,25.0
DEN,PG,23.51326530612245,23.0
DET,C,25.877615062761507,18.0
DET,PF,21.434497816593886,14.0
DET,PG,22.606029106029105,12.0
GSW,C,25.318627450980394,15.0
GSW,PF,21.396459227467812,13.0
GSW,PG,22.947979797979798,17.0
HOU,C,23.226653696498055,3.0
HOU,PF,20.22575431034483,4.0
HOU,PG,21.725,3.0
IND,C,24.376984126984127,9.0
IND,PF,21.456521739130434,16.0
IND,PG,22.385395537525355,8.0
LAC,C,23.409695817490494,4.0
LAC,PF,20.659707724425886,6.0
LAC,PG,21.95924453280318,5.0
LAL,C,22.552304964539008,2.0
LAL,PF,21.190760869565217,12.0
LAL,PG,23.251540041067763,20.0
MEM,C,24.6234693877551,11.0
MEM,PF,22.743243243243242,27.0
MEM,PG,23.089795918367347,18.0
MIA,C,25.29564315352697,14.0
MIA,PF,22.6873576309795,26.0
MIA,PG,23.801829268292682,26.0
MIL,C,23.950819672131146,8.0
MIL,PF,21.15182186234818,11.0
MIL,PG,23.68972746331237,25.0
MIN,C,24.616326530612245,10.0
MIN,PF,20.975050916496944,9.0
MIN,PG,21.638832997987926,2.0
NOP,C,27.37007874015748,29.0
NOP,PF,22.05144230769231,22.0
NOP,PG,24.541152263374485,29.0
NYK,C,23.862603305785125,7.0
NYK,PF,20.353950103950105,5.0
NYK,PG,22.559288537549406,10.0
OKC,C,22.2406015037594,1.0
OKC,PF,19.96060606060606,3.0
OKC,PG,20.878937007874015,1.0
ORL,C,23.518828451882847,6.0
ORL,PF,19.784552845528456,2.0
ORL,PG,22.11858316221766,6.0
PHI,C,25.087090163934427,13.0
PHI,PF,22.108559498956158,23.0
PHI,PG,22.83859470468432,14.0
PHX,C,26.007407407407406,19.0
PHX,PF,20.736897274633122,7.0
PHX,PG,22.741516966067863,13.0
POR,C,26.14272030651341,21.0
POR,PF,21.642021276595745,18.0
POR,PG,23.160019455252918,19.0
SAC,C,26.879245283018868,26.0
SAC,PF,21.655228758169933,19.0
SAC,PG,22.93145956607495,15.0
SAS,C,25.582706766917294,16.0
SAS,PF,21.456382978723404,15.0
SAS,PG,22.564688715953306,11.0
TOR,C,26.75,25.0
TOR,PF,21.525,17.0
TOR,PG,22.9435318275154,16.0
UTA,C,26.143410852713178,22.0
UTA,PF,23.076433121019107,28.0
UTA,PG,25.451195219123505,30.0
WAS,C,27.136363636363637,27.0
WAS,PF,22.34639175257732,24.0
WAS,PG,24.163,28.0
